Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
OGD-OGD,7,AdultIncome,0.95+0.9,0.024819538211286057,0.030927630025055806,0.000374506273274154
OGD-OGD,10,AdultIncome,0.95+0.9,0.11558242299131385,0.08178919925528803,0.0007579568484004859
OGD-OGD,13,AdultIncome,0.95+0.9,0.1015867717040781,0.07235904318270066,0.0006636552876746119
OGD-OGD,16,AdultIncome,0.95+0.9,0.08964776289326509,0.06431463609314685,0.000583211216779074
OGD-OGD,19,AdultIncome,0.95+0.9,0.016378825648005017,0.00893816359363943,8.93816359363943e-05
OGD-OGD,22,AdultIncome,0.95+0.9,0.016378825648005017,0.00893816359363943,8.93816359363943e-05
OGD-OGD,25,AdultIncome,0.95+0.9,0.010435668720288687,0.007119040570030952,7.896717255378894e-05
OGD-OGD,28,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD-OGD,31,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD-OGD,34,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD-OGD,37,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD-OGD,40,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD-OGD,43,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD-OGD,46,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD-OGD,49,AdultIncome,0.95+0.9,0.008628636306386885,0.005993514415239468,7.896717255378894e-05
OGD,1,AdultIncome,0.9+0,0.1243317170210121,0.1316094811868059,0.001316094811868059
OGD,4,AdultIncome,0.9+0,0.01758699983987959,0.04392507873363169,0.0004582187059034321
