Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
OGD,46,AdultIncome,0.95+0,0.017723905559637154,0.023674381057819466,0.00022779820639291955
OGD,49,AdultIncome,0.95+0,0.001307761051270551,0.023674381057819466,0.00022779820639291955
Hedge,1,AdultIncome,0.95+0,0.1248704877947698,0.12696834079230895,0.0012696834079230896
Hedge,4,AdultIncome,0.95+0,0.04844053568505865,0.06379527026003659,0.0007346543876564956
Hedge,7,AdultIncome,0.95+0,0.010190162126850963,0.0445458920302048,0.00044176385777904085
Hedge,10,AdultIncome,0.95+0,0.03716993435425036,0.0445458920302048,0.00044176385777904085
Hedge,13,AdultIncome,0.95+0,0.003754892026827173,0.0445458920302048,0.00044176385777904085
Hedge,16,AdultIncome,0.95+0,0.004737361021007967,0.0445458920302048,0.00041996776680174367
Hedge,19,AdultIncome,0.95+0,0.001713648024216603,0.0445458920302048,0.0004405831996201679
Hedge,22,AdultIncome,0.95+0,0.003632860273962082,0.0445458920302048,0.00042349741011630073
Hedge,25,AdultIncome,0.95+0,0.0009070227105439044,0.0445458920302048,0.00043800547420588256
Hedge,28,AdultIncome,0.95+0,0.003016908647033553,0.0445458920302048,0.00042546580130833336
Hedge,31,AdultIncome,0.95+0,0.0004976823911592709,0.0445458920302048,0.0004366973489505947
Hedge,34,AdultIncome,0.95+0,0.0023956383114231467,0.0445458920302048,0.00042745118945088095
Hedge,37,AdultIncome,0.95+0,0.0003474342655934858,0.0445458920302048,0.00043574379688911204
Hedge,40,AdultIncome,0.95+0,0.0018233069052304412,0.0445458920302048,0.0004292801838874917
Hedge,43,AdultIncome,0.95+0,0.0002514236639161131,0.0445458920302048,0.0004354128791334596
Hedge,46,AdultIncome,0.95+0,0.006684271243653154,0.0445458920302048,0.0004354128791334596
Hedge,49,AdultIncome,0.95+0,9.577536470861166e-05,0.0445458920302048,0.0004354128791334596
Prod,1,AdultIncome,0.95+0,0.1248704877947698,0.12696834079230895,0.0012696834079230896
Prod,4,AdultIncome,0.95+0,0.021886458645436573,0.05669246072077242,0.0005329154933229695
Prod,7,AdultIncome,0.95+0,0.058233508524739935,0.05669246072077242,0.0005329154933229695
Prod,10,AdultIncome,0.95+0,0.005817513298544129,0.05669246072077242,0.0005379816205825384
Prod,13,AdultIncome,0.95+0,0.04115263003169359,0.05669246072077242,0.0005561784463679022
Prod,16,AdultIncome,0.95+0,0.01495647327789601,0.05669246072077242,0.0005561784463679022
Prod,19,AdultIncome,0.95+0,0.024848286566557944,0.05669246072077242,0.0005561784463679022
Prod,22,AdultIncome,0.95+0,0.0023736343018321508,0.05669246072077242,0.0005561784463679022
Prod,25,AdultIncome,0.95+0,0.016003145461353542,0.05669246072077242,0.0005561784463679022
Prod,28,AdultIncome,0.95+0,0.0031758452947614015,0.05669246072077242,0.0005561784463679022
Prod,31,AdultIncome,0.95+0,0.012947567133918923,0.05669246072077242,0.0005561784463679022
Prod,34,AdultIncome,0.95+0,0.0009122120827891849,0.05669246072077242,0.0005561784463679022
Prod,37,AdultIncome,0.95+0,0.01052778417334956,0.05669246072077242,0.0005561784463679022
Prod,40,AdultIncome,0.95+0,0.0009394548021814049,0.05669246072077242,0.0005561784463679022
Prod,43,AdultIncome,0.95+0,0.007700249576713007,0.05669246072077242,0.0005561784463679022
Prod,46,AdultIncome,0.95+0,4.253121723866432e-05,0.05669246072077242,0.0005564748339776837
Prod,49,AdultIncome,0.95+0,0.005725073216885426,0.05669246072077242,0.0005564748339776837
GD,1,AdultIncome,0.95+0,0.19454080152513573,0.19765042267528593,0.001976504226752859
GD,4,AdultIncome,0.95+0,0.1248704877947698,0.08809878998839715,0.0012696834079230898
GD,7,AdultIncome,0.95+0,0.019663532183807248,0.08809878998839715,0.0008609620655405687
GD,10,AdultIncome,0.95+0,0.295710584282266,0.19518064530225968,0.002323926459652797
GD,13,AdultIncome,0.95+0,0.18296513509855555,0.1271545135688223,0.0018985549152340541
GD,16,AdultIncome,0.95+0,0.03241427791777035,0.08809878998839715,0.0009742219118992403
GD,19,AdultIncome,0.95+0,0.030730810282702904,0.08809878998839715,0.0009688420691972031
GD,22,AdultIncome,0.95+0,0.05100626300265559,0.08809878998839715,0.001033636154972164
GD,25,AdultIncome,0.95+0,0.19768169316004874,0.13407846066869603,0.0019677943862327915
